Title,Org,posting_url,Location,Date published,Date it closes,Problem area (filters),Description,Required degree,MinimumExperienceLevel,Role type,Org's home page,Org's vacancies page,Org's logo,Salary (display)
"Senior Program Officer, Translational Sciences, Global Health",Bill and Melinda Gates Foundation,https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Seattle-WA/Senior-Program-Officer--Translational-Sciences--Global-Health_B019184-1,Seattle metro area.USA,2024-03-07,1/1/2050,A. Global health & development,"""We are currently seeking a Senior Program Officer (SPO) to join Translation Sciences (TS) team within D&TS to contribute to a productive and collaborative culture of innovation, to accelerate translation of research into practical health solutions, and to be passionate about solving problems and addressing questions relevant to our mission. What You’ll Do: Strategy Development: Assist the Deputy Director in defining and driving clinical development strategies for global health product development initiatives in a data-driven, analytical [...]""",Doctoral degree,Senior (10+ years experience),Operations,https://www.gatesfoundation.org,https://gatesfoundation.wd1.myworkdayjobs.com/Gates,https://80000hours.org/wp-content/uploads/2019/09/Gates-foundation.png,"$256,600 - $433,300"
"Senior Strategy Implementation Officer, Clinical Vaccine Development",Bill and Melinda Gates Foundation,https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Seattle-WA/Senior-Strategy-Implementation-Officer--Clinical-Vaccine-Development_B020208-1,Seattle metro area.USA,2024-03-26,1/1/2050,A. Global health & development,"""As a key member of the Clinical & HPV Domain, the Senior Strategy Implementation Officer is accountable for leading strategy development, execution and management of key initiative areas. You will partner closely with the Deputy Director, Clinical Vaccine Development (DD) and Deputy Director, Strategy Planning and Management (DDSPM) to contribute to the continued development of the team’s strategic vision including participating in the setting of the overall strategy and goals for the group. What You’ll Do: Clinical Strategic Support: Partner [...]""",Master's degree,"Junior (1-4 years experience),Mid (5-9 years experience)","Operations, Outreach",https://www.gatesfoundation.org,https://gatesfoundation.wd1.myworkdayjobs.com/Gates,https://80000hours.org/wp-content/uploads/2019/09/Gates-foundation.png,"$166,300 - $271,800"
Future Biobae,Biobot Analytics,https://jobs.lever.co/biobot/a2a70a3e-09a6-4b29-aac4-3feba17b3ef0,"""New York, NY.USA"",Remote.Global,Boston metro area.USA",2023-06-08,1/1/2050,2. Biosecurity & pandemic preparedness,"""We love to hear from passionate talented folks who want to help us in our mission to transform wastewater infrastructure into public health observatories.""",Undergraduate degree or less,Multiple experience levels,"Operations, Research",https://biobot.io/,https://biobot.io/careers/,https://80000hours.org/wp-content/uploads/2022/11/Biobot.png,Not Found
"Senior / Staff Data Scientist, Quantitative Epidemiologist",Biobot Analytics,https://jobs.lever.co/biobot/2465fba3-1e64-4066-bc46-39e66fb0d1ef,Remote.Global,2024-02-07,1/1/2050,2. Biosecurity & pandemic preparedness,"""Essential Duties and Responsibilities (What you will be doing): Work with our Product team and customers to identify the most important analytical problems in substance use and infectious disease wastewater based epidemiology; Propose and scope multiple candidate approaches to solve these problems including the application of both existing epidemiology methods and novel alternatives; Rank these candidates and choose an approach considering not only the primary question to be answered, but also model complexity, interpretation, and scalability. [...]""",Doctoral degree,Mid (5-9 years experience),Data,https://biobot.io/,https://biobot.io/careers/,https://80000hours.org/wp-content/uploads/2022/11/Biobot.png,"$115,000 - $170,000"
"Intern, Test Engineering",Bioflyte,https://bioflyte.com/careers/?gh_jid=5759500,"""Albuquerque, NM.USA""",2024-02-29,1/1/2050,2. Biosecurity & pandemic preparedness,"""The intern will collaborate closely with the Lead Test Engineer in the design and execution of test protocols for the company’s flagship product. This involves hands-on engagement in the testing process, encompassing activities such as setting up experiments, collecting and analyzing data, and ensuring the adherence to rigorous testing standards. Responsibilities and Duties: Developing, documenting, and executing procedures for testing prototype products and subsystems; Generation, organization, analyzing and storing of test data and reports; [...]""",Undergraduate degree or less,Entry-level,Engineering,https://www.bioflyte.com/,https://www.bioflyte.com/careers/,https://80000hours.org/wp-content/uploads/2023/07/bioflyte_logo.jpeg,Not Found
"Associate Director, Energy Program",Bipartisan Policy Center,https://careers.bipartisanpolicy.org/jobs/Q21J8TwJfdSI/associate-director-energy-program,"""Washington, DC metro area.USA""",2024-02-13,1/1/2050,6. Early career policy,"""The Associate Director role is versatile, involving a variety of tasks, often simultaneously. A good candidate will be able to learn about new and evolving policy issues, interact with policy experts and political leaders, lead stakeholder engagement, and manage project timelines and workflows. Responsibilities include: Roles And Responsibilities: Work with Director(s) to establish project work plan, set strategic goals, and ensure execution of all project activities. Lead development of a research plan and conduct research on a range of [...]""",Master's degree,Mid (5-9 years experience),"Policy, Management, Research",https://bipartisanpolicy.org/,https://careers.bipartisanpolicy.org/jobs,https://80000hours.org/wp-content/uploads/2023/03/Biparisan-policy-center.jpeg,Not Found
"Associate Director, Technology Policy Project",Bipartisan Policy Center,https://careers.bipartisanpolicy.org/jobs/BNrr-35EMCU4/associate-director-technology-policy-project,"""Washington, DC metro area.USA""",2024-01-15,1/1/2050,1. AI safety & policy,"""BPC is currently seeking an Associate Director for its Technology Policy Project. This position would focus primarily on the technology project’s AI initiative, which works to foster AI literacy and education in the government. This person will work with our team to foster and manage relationships with policymakers, academia, industry, and tech stakeholders. They will have the opportunity to lead research on relevant policy issues and write published content. Responsibilities: Foster relationships and partnerships with thought leaders and [...]""",Undergraduate degree or less,Mid (5-9 years experience),Policy,https://bipartisanpolicy.org/,https://careers.bipartisanpolicy.org/jobs,https://80000hours.org/wp-content/uploads/2023/03/Biparisan-policy-center.jpeg,Not Found
"Senior Policy Analyst, Energy Program",Bipartisan Policy Center,https://careers.bipartisanpolicy.org/jobs/G2vYN5_5xYfd/senior-policy-analyst-energy-program,"""Washington, DC metro area.USA""",2024-02-13,1/1/2050,6. Early career policy,"""The Senior Policy Analyst position is versatile, involving a variety of tasks, often simultaneously. A good candidate will be able to learn about new and evolving policy issues, interact with policy experts and political leaders, and lead stakeholder engagement. Responsibilities include: Roles And Responsibilities: Conduct research on a range of energy and climate issues with a focus on a subset of the following topics: Carbon Dioxide Removal (CDR) including Direct Air Capture (DAC), Bioenergy with Carbon Capture and Storage / Biomass with [...]""",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Research, Policy",https://bipartisanpolicy.org/,https://careers.bipartisanpolicy.org/jobs,https://80000hours.org/wp-content/uploads/2023/03/Biparisan-policy-center.jpeg,Not Found
AI Safety Specialist (Technical),BlueDot Impact,https://www.bluedotimpact.org/ai-safety-specialist-technical/?utm_source=80kJB&utm_campaign=jan,"London.UK,Remote.Global",2024-04-08,1/1/2050,1. AI safety & policy,"""We’re looking for an AI safety specialist to own and redesign the world’s most popular course on AI safety. In the first 6 months, you will: Work with top AI researchers and conduct expert interviews to determine the goals and narrative of the AI Alignment course; Read cutting-edge research in AI safety, and prioritise which papers and arguments students should engage with; Design a world-class learning experience for students on the AI Alignment course; Collaborate with our community of facilitators to continuously improve the course based on user experience and feedback.""",Undergraduate degree or less,Multiple experience levels,Other,https://www.bluedotimpact.org/,https://www.bluedotimpact.org/careers,https://80000hours.org/wp-content/uploads/2023/11/BlueDot-Impact-Icon-for-LinkedIn.png,"£60,000 - £90,000"
Biosecurity Specialist,BlueDot Impact,https://www.bluedotimpact.org/biosecurity-specialist?utm_source=80kJB&utm_campaign=jan,London.UK,2024-02-23,1/1/2050,2. Biosecurity & pandemic preparedness,"""What you'll do: We’re looking for a biosecurity specialist to shape the future of BlueDot Impact’s pandemic preparedness offerings. You will utilise BlueDot’s capabilities in course design, delivery and our expert relationships to create and deploy learning experiences which equip global decision-makers to build a pandemic-proof future. In the first 6 months, you will: Work with top biosecurity researchers and policymakers to refine the goals and narrative of the Pandemics course; Design a world-class learning experience for students on [...]""",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Policy, Research, Other",https://www.bluedotimpact.org/,https://www.bluedotimpact.org/careers,https://80000hours.org/wp-content/uploads/2023/11/BlueDot-Impact-Icon-for-LinkedIn.png,"£60,000 - £80,000"
Expression of Interest,BlueDot Impact,https://airtable.com/appB9rItpTpWkNqEI/shrulKbUxr7NhgnKJ,"London.UK,Remote.Global",2023-11-02,1/1/2050,"1. AI safety & policy,2. Biosecurity & pandemic preparedness","""We are accepting expressions of interest for certain positions that we haven't yet opened hiring rounds for. We’ve made the first step as easy as possible, and we recommend submitting an expression of interest even if you’re not sure if you’re a good fit. If we think you could be a particularly great fit for our team, we will reach out to you.""",Undergraduate degree or less,Multiple experience levels,"Research, Operations, Other",https://www.bluedotimpact.org/,https://www.bluedotimpact.org/careers,https://80000hours.org/wp-content/uploads/2023/11/BlueDot-Impact-Icon-for-LinkedIn.png,Not Found
